Date,Atchison55ACTIVE,SAA Target,Peer Group
2022-12-31,4.419752458438619,4.420928126652068,3.6023008325247297
2023-01-31,3.6050641739369116,3.771661377754021,3.893593745797941
2023-02-28,0.7038875688567536,0.8013802362298206,0.16170259875512016
2023-03-31,3.41455368714747,3.584201160413558,3.372298283932218
2023-04-30,2.4119870582669067,2.030482447909887,1.4386293781739612
2023-05-31,2.4403539442279465,1.6795397577407556,1.5597598334573304
2023-06-30,2.4255364124494028,1.6713376728401563,1.2580025337687095
2023-07-31,2.7252405367445,1.8689314523665734,1.3639391413416968
2023-08-31,3.3398155342086344,2.565709999657506,2.070811911955084
2023-09-30,0.3615818109362401,-0.278882287015203,-1.0250035660488543
2023-10-31,-3.1607182071357265,-3.4192814272780314,-3.921321171454384
2023-11-30,-0.3749734894359813,-0.510813847077296,-0.5813247381930786
2023-12-31,4.888693820888923,4.783852645680797,5.052501644995178
2024-01-31,7.9237429339982235,7.178828974449791,7.717356011581877
2024-02-29,6.173663751693326,4.820438561393647,5.678732607043813
2024-03-31,5.207752233222318,4.027200474299963,4.336195441092294
2024-04-30,2.115043461448085,1.0461456572443684,1.3428126040385013
2024-05-31,1.2310749664528053,0.6807690103320496,0.7995476969538506
2024-06-30,-0.11026834425390541,-0.22649192887373992,-0.44903915960111673
2024-07-31,4.161082214062484,4.5157311883739615,3.981610448419759
2024-08-31,3.7866874601440337,4.586850548095067,3.475567431109128
2024-09-30,4.0648656403516,4.735503472178726,3.9077045480791384
2024-10-31,1.7345338061429239,1.6334491119205596,1.3002054433886245
2024-11-30,3.1784191469307332,2.869865323317411,3.102374104226535
2024-12-31,1.4918093041044633,0.6325701219905611,1.231899944065007
2025-01-31,3.456857956950632,2.9528041440422648,3.2549255494588314
2025-02-28,1.1954797380604898,0.38048526601470734,0.7038311743270187
2025-03-31,0.16795523024435433,-0.6357480870795684,-0.33860163382073427
2025-04-30,-1.2022473777806297,-1.298395265027541,-1.475205885997699
2025-05-31,1.2240032234320575,1.605453417553293,1.1780124992451624
2025-06-30,3.62324002558132,4.5362785545213224,4.2490377272419
2025-07-31,4.280991126134137,4.809703721745295,4.407511293410193
2025-08-31,3.498287143567569,3.7302157119800228,3.508267100443563
2025-09-30,3.082303744090553,3.1519688977670324,3.3487026920279606
2025-10-31,2.7485771072030873,2.8511271110545966,3.673601566060425
2025-11-30,0.9503248299727041,1.1099310827708653,1.779865736677011
2025-12-31,0.29793700427998004,0.6367732598904441,0.7076982635576989
2026-01-31,-0.48345971116049435,-0.21284203053817397,0.17523854447776266
2026-02-28,0.7218772318209776,1.5515464297696013,1.8638723129049906
2026-03-31,-2.9146755766329857,-1.9863902330624073,-1.6292994619832468
