Date,AtchisonAusShares,SAA Target,Peer Group
2022-12-31,-2.921927636832833,-3.1611139508094688,-3.078748175127688
2023-01-31,5.616246989513773,6.1592014648010895,5.475199662713792
2023-02-28,-2.1152464935243365,-2.595674429162109,-1.8242154748223105
2023-03-31,-0.030863053935359375,-0.0683285409719292,-0.5867654161163083
2023-04-30,2.043453776493509,1.886828214365055,1.8556916884428398
2023-05-31,-2.344186496811218,-2.582398765006655,-2.208422473555216
2023-06-30,1.6840964509259537,1.7439842709218611,1.279540234267884
2023-07-31,2.895551040371158,2.8689202557442117,2.761802524714785
2023-08-31,-0.7755101008600218,-0.770004141381242,-0.904811226729374
2023-09-30,-2.959211293429753,-2.8340074912627244,-2.9388623643896827
2023-10-31,-4.074994046872337,-3.933204688680192,-3.9663934746229756
2023-11-30,4.919579910252048,5.106539382766662,4.548197475660309
2023-12-31,6.960667866385095,7.340091832865547,6.25499874060107
2024-01-31,1.528745840846546,1.1342643858390122,1.063906692273231
2024-02-29,1.2228387068858426,0.7782084551768653,1.2918542512544207
2024-03-31,3.3877566733163444,3.3462041036073753,3.0377254155907307
2024-04-30,-2.823309967869947,-2.98799370509365,-2.733798115301478
2024-05-31,0.49385818607061704,0.9400319635286314,0.2987273887813391
2024-06-30,0.75591258097778,0.9633919125072721,0.6209857716719336
2024-07-31,4.094966194620153,4.16704983561671,3.6220622552903814
2024-08-31,0.11319258617878969,0.398773779559769,0.3920231475234681
2024-09-30,2.774424388928143,2.7497710807530718,2.8450743838515535
2024-10-31,-0.8841683118594901,-1.104453710084785,-1.3914986133356733
2024-11-30,3.947836714542885,3.781640284372134,3.5215026789430004
2024-12-31,-3.1323342296068035,-3.056127003474729,-3.2171724878465646
2025-01-31,4.297581423073504,4.519454576814952,3.767998972961184
2025-02-28,-3.087680882403099,-3.877550298682253,-3.3585250026054614
2025-03-31,-3.5478908465661596,-3.2757052841117518,-3.6412202743644095
2025-04-30,3.393662363778649,3.5323836589071345,2.5254020426899393
2025-05-31,5.121079644108839,4.218892452589751,4.073329284472149
2025-06-30,0.9981579507313043,1.4667064567756238,1.1806051956698704
2025-07-31,2.6113850905261415,2.3029014548560545,2.1681993938482025
2025-08-31,3.9247199388575016,3.162393357635551,2.7547742377795448
2025-09-30,-0.6986276346159448,-0.883734732431829,-1.0017611551594086
2025-10-31,0.3232878324515909,0.429555114801361,0.05919862173457968
2025-11-30,-2.4598131013698343,-2.641191047950353,-2.3711918875841786
2025-12-31,-0.396293368111611,1.3275613033830513,0.5368651515780698
2026-01-31,0.7815861558731818,1.8154184450649646,1.7655984490450916
2026-02-28,1.3815690683746773,4.105736748855282,1.4871436930257165
2026-03-31,-7.840754636416635,-7.1582922622627665,-6.780834263259972
