Date,AtchisonIntShares,SAA Target,Peer Group
2022-12-31,5.501580214215629,4.666580793392949,5.1140999937991705
2023-01-31,0.2750343155227375,0.09275702016271481,2.653900933229858
2023-02-28,-0.34706589754052164,1.8769053987980122,0.614678890302045
2023-03-31,5.014966396959153,7.1257697890891425,8.2836054254946
2023-04-30,6.670449288874036,8.282754384709733,6.769842417031224
2023-05-31,7.44196296423445,7.133471062583796,5.954744490459896
2023-06-30,7.50130065104726,6.867025803891336,5.419009519940854
2023-07-31,7.3053601750592945,7.876661751676584,4.942109779104342
2023-08-31,6.707320216256862,6.74320843330245,5.089014284382065
2023-09-30,0.646289157486124,0.568717022085119,-1.34090262617782
2023-10-31,-4.117187051058135,-5.365122919410215,-4.811037649261829
2023-11-30,-0.680557360158629,-1.4336986685366426,-1.2644855717376835
2023-12-31,5.542065392151452,4.512564190020418,4.923600862470456
2024-01-31,12.797306625173421,12.2014986635544,10.243878704606013
2024-02-29,14.432658591500601,11.518344975764894,11.364588747814386
2024-03-31,15.060073255541306,12.906971574255067,11.869898749618146
2024-04-30,7.074988506485758,5.647880906084235,4.990761159931445
2024-05-31,1.7724970316493893,1.3448287186976549,1.1105581504295081
2024-06-30,2.036184895651183,1.9998318886432997,-1.1081311508849612
2024-07-31,5.692169269972225,6.419982058404572,5.0987577680138285
2024-08-31,3.823849163810311,4.398499620864138,2.683392726201239
2024-09-30,1.0253997631832767,1.5218255017381388,2.3489827638042415
2024-10-31,2.870329902683566,3.2587738210703154,1.9576311924373924
2024-11-30,6.607915736155667,8.406841099134187,6.750124626453613
2024-12-31,7.588580225630581,10.297307339033225,7.692073506441766
2025-01-31,7.8748562434122205,9.69369721100688,8.360278775139808
2025-02-28,3.027362272030376,4.366374970866294,3.6520592158142184
2025-03-31,-2.539715291862621,-2.1660154755362204,-1.5423037797627992
2025-04-30,-6.4364814443999885,-7.019258534368733,-5.978518932033028
2025-05-31,-0.13634231716919132,0.45448479809795383,-0.8049306505255371
2025-06-30,7.224129904424448,7.052784873010509,5.567688774878277
2025-07-31,11.331869226686031,12.834372391440008,8.691236578544537
2025-08-31,6.49208576618614,7.392751997389979,4.557867171003593
2025-09-30,4.837807202646771,6.762594107167663,3.7643661101137926
2025-10-31,4.777405838115634,6.839367618167214,4.537979602704723
2025-11-30,3.8168167000005138,5.343944326410588,3.380049107663674
2025-12-31,2.10826622131679,2.5514279816663654,1.627098614036382
2026-01-31,-1.7432101451759774,-2.736297315760272,-2.8450170415618925
2026-02-28,-1.4310953246612357,-2.6207750161174492,-3.0617741817773547
2026-03-31,-6.7624655969842244,-7.132683354485869,-6.596401066974533
